Etablissement;Annee;Ville;UAI;Code commune;Academie;Departement;Secteur;Presents - L;Presents - ES;Presents - S;Presents - STG;Presents - STI2D;Presents - STD2A;Presents - STMG;Presents - STI;Presents - STL;Presents - ST2S;Presents - TMD;Presents - STHR;Presents - Toutes series;Taux de reussite - L;Taux de reussite - ES;Taux de reussite - S;Taux de reussite - STG;Taux de reussite - STI2D;Taux de reussite - STD2A;Taux de reussite - STMG;Taux de reussite - STI;Taux de reussite - STL;Taux de reussite - ST2S;Taux de reussite - TMD;Taux de reussite - STHR;Taux de reussite - Toutes series;Taux de reussite attendu acad - L;Taux de reussite attendu acad - ES;Taux de reussite attendu acad - S;Taux de reussite attendu acad - STG;Taux de reussite attendu acad - STI2D;Taux de reussite attendu acad - STD2A;Taux de reussite attendu acad - STMG;Taux de reussite attendu acad - STI;Taux de reussite attendu acad - STL;Taux de reussite attendu acad - ST2S;Taux de reussite attendu acad - TMD;Taux de reussite attendu acad - STHR;Taux de reussite attendu acad - Toutes series;Taux de reussite attendu france - L;Taux de reussite attendu france - ES;Taux de reussite attendu france - S;Taux de reussite attendu france - STG;Taux de reussite attendu france - STI2D;Taux de reussite attendu france - STD2A;Taux de reussite attendu france - STMG;Taux de reussite attendu france - STI;Taux de reussite attendu france - STL;Taux de reussite attendu france - ST2S;Taux de reussite attendu france - TMD;Taux de reussite attendu france - STHR;Taux de reussite attendu france - Toutes series;Taux de mentions - L;Taux de mentions - ES;Taux de mentions - S;Taux de mentions - STI2D;Taux de mentions - STD2A;Taux de mentions - STMG;Taux de mentions - STL;Taux de mentions - ST2S;Taux de mentions - TMD;Taux de mentions - STHR;Taux de mentions - Toutes series;Taux de mentions attendu - L;Taux de mentions attendu - ES;Taux de mentions attendu - S;Taux de mentions attendu - STI2D;Taux de mentions attendu - STD2A;Taux de mentions attendu - STMG;Taux de mentions attendu - STL;Taux de mentions attendu - ST2S;Taux de mentions attendu - TMD;Taux de mentions attendu - STHR;Taux de mentions attendu - Toutes series;Structure pedagogique 5 groupes;Structure pedagogique 7 groupes;Pourcentage bacheliers sortants 2de 1re Terminale Etablissement;Pourcentage bacheliers sortants Terminales Etablissement;Pourcentage bacheliers sortants 2de 1re Terminale Acad;Pourcentage bacheliers sortants Terminale Acad;Pourcentage bacheliers sortants 2de 1re Terminale France;Pourcentage bacheliers sortants Terminale France;Effectif de seconde;Effectif de premiere;Effectif de terminale;Taux d'acces 2nde-bac;Taux d'acces attendu acad 2nde-bac;Taux d'acces attendu france 2nde-bac;Taux d'acces 1ere-bac;Taux d'acces attendu acad 1ere-bac;Taux d'acces attendu france 1ere-bac;Taux d'acces terminale-bac;Taux d'acces attendu france terminale-bac;Region;Code region;code_departement;Departement.1;Valeur ajoutee du taux de reussite - Toutes series;Valeur ajoutee du taux d'acces 2nde-bac;Valeur ajoutee du taux de mentions - Toutes series;Valeur ajoutee du taux de reussite - L;Valeur ajoutee du taux de reussite - ES;Valeur ajoutee du taux de reussite - S;Valeur ajoutee du taux de reussite - STG;Valeur ajoutee du taux de reussite - STI2D;Valeur ajoutee du taux de reussite - STD2A;Valeur ajoutee du taux de reussite - STMG;Valeur ajoutee du taux de reussite - STI;Valeur ajoutee du taux de reussite - STL;Valeur ajoutee du taux de reussite - ST2S;Valeur ajoutee du taux de reussite - TMD;Valeur ajoutee du taux de reussite - STHR;Valeur ajoutee du taux d'acces 1ere-bac;Valeur ajoutee du taux d'acces terminale-bac;Valeur ajoutee du taux de mentions - L;Valeur ajoutee du taux de mentions - ES;Valeur ajoutee du taux de mentions - S;Valeur ajoutee du taux de mentions - STI2D;Valeur ajoutee du taux de mentions - STD2A;Valeur ajoutee du taux de mentions - STMG;Valeur ajoutee du taux de mentions - STL;Valeur ajoutee du taux de mentions - ST2S;Valeur ajoutee du taux de mentions - TMD;Valeur ajoutee du taux de mentions - STHR;Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
LYCEE SAINTE-ELISABETH;2012;PARIS 15;0753916Z;75115;PARIS;Paris;PR;18.0;32.0;29.0;;;;;;;;;;79;100.0;100.0;97.0;;;;;;;;;;99;97.0;97.0;97.0;;;;;;;;;;97.0;94;97;95;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;1.0;;73.0;99.0;75.0;94.0;73.0;96.0;96.0;85.0;;68;74.0;60;92.0;90.0;86;;;Ile-de-France;11;75;Paris;3;8;;6;3;2;;;;;;;;;;6;;;;;;;;;;;;0753916Z;Lycée privé Sainte-Elisabeth;Lycée;Privé;112 rue de Lourmel;;75015 Paris;75015.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 54 56 76;01 45 57 09 96;http://www.sainte-elisabeth.com;direction@sainte-elisabeth.com;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78461709400015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4703;48.8428681637,2.28615049495;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;647609.1;6860550.2;EPSG:2154;;48.84286816371917;2.286150494949569;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE PASCAL;2012;PARIS 16;0753919C;75116;PARIS;Paris;PR;16.0;28.0;22.0;;;;;;;;;;66;100.0;100.0;100.0;;;;;;;;;;100;98.0;98.0;96.0;;;;;;;;;;97.0;97;97;96;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;1.0;;67.0;90.0;75.0;94.0;73.0;96.0;66.0;79.0;;60;73.0;64;75.0;90.0;85;;;Ile-de-France;11;75;Paris;4;-4;;3;3;4;;;;;;;;;;-10;;;;;;;;;;;;0753919C;Lycée privé Pascal;Lycée;Privé;33 boulevard Lannes;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 04 14 23;01 45 04 30 38;http://www.ecolepascal.fr;ce.0753919c@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;69204166800017.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13276;48.8670489693,2.27221969687;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;646611.5;6863248.2;EPSG:2154;;48.86704896932493;2.272219696869433;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;1.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE PASCAL;2012;PARIS 16;0753919C;75116;PARIS;Paris;PR;16.0;28.0;22.0;;;;;;;;;;66;100.0;100.0;100.0;;;;;;;;;;100;98.0;98.0;96.0;;;;;;;;;;97.0;97;97;96;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;1.0;;67.0;90.0;75.0;94.0;73.0;96.0;66.0;79.0;;60;73.0;64;75.0;90.0;85;;;Ile-de-France;11;75;Paris;4;-4;;3;3;4;;;;;;;;;;-10;;;;;;;;;;;;0753919C;Lycée privé Pascal;Lycée;Privé;13-15 rue de Montevideo;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 04 14 23;;http://www.ecolepascal.fr;ce.0753919c@ac-paris.fr;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;69204166800017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21884;48.8670489693,2.27221969687;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;646611.5;6863248.2;EPSG:2154;;48.86704896932493;2.272219696869433;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;1.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE JULES RICHARD MICROTECHNIQUES (GENERAL ET TECHNO.);2012;PARIS 19;0754015G;75119;PARIS;Paris;PR;;;;;;;;38.0;;;;;38;;;;;;;;66.0;;;;;66;;;;;;;;70.0;;;;;70.0;;;;;;;;71.0;;;;;71;;;;;;;;;;;;;;;;;;;;;;;6.0;;61.0;76.0;75.0;94.0;72.0;90.0;16.0;29.0;;51;26.0;36;61.0;45.0;58;;;Ile-de-France;11;75;Paris;-5;15;;;;;;;;;-5;;;;;3;;;;;;;;;;;;0754015G;Lycée technologique privé Jules Richard;Lycée;Privé;21 rue Carducci;;75019 Paris;75019.0;75100;Paris;075;1.0;11.0;;;0.0;1.0;0.0;01 53 72 83 60;01 53 72 83 70;http://www.lyceejulesrichard.fr;secretariat@lyceejulesrichard.fr;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;78477853200019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13275;48.8774752709,2.38568059992;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;654943.6;6864336.8;EPSG:2154;;48.877475270948494;2.3856805999231705;Numéro de rue;1968-03-15;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;30;;;;01000;BASSIN PARIS
LYCEE STE URSULE-LOUISE BETTIGNIES;2012;PARIS 17;0754081D;75117;PARIS;Paris;PR;17.0;37.0;38.0;;;;;;;;;;92;100.0;97.0;100.0;;;;;;;;;;99;97.0;99.0;99.0;;;;;;;;;;99.0;98;98;98;;;;;;;;;;98;;;;;;;;;;;;;;;;;;;;;;;1.0;;76.0;99.0;75.0;94.0;73.0;96.0;144.0;106.0;;77;81.0;78;94.0;93.0;92;;;Ile-de-France;11;75;Paris;1;-1;;2;-1;2;;;;;;;;;;2;;;;;;;;;;;;0754081D;Lycée privé Sainte-Ursule Louise de Bettignies;Lycée;Privé;25 rue Daubigny;;75017 Paris;75017.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 42 27 75 81;01 42 27 96 55;http://www.ste-ursule.fr;ce.0754081d@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;77569150400028;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16765;48.8859077773,2.30747934149;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;649216.4;6865321.9;EPSG:2154;;48.88590777729157;2.3074793414882504;Numéro de rue;1968-03-28;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE LA ROCHEFOUCAULD;2012;PARIS 07;0753851D;75107;PARIS;Paris;PR;;48.0;58.0;;;;;;;;;;106;;100.0;100.0;;;;;;;;;;100;;99.0;100.0;;;;;;;;;;100.0;;99;99;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;1.0;;83.0;100.0;75.0;94.0;73.0;96.0;144.0;139.0;;85;86.0;85;94.0;95.0;94;;;Ile-de-France;11;75;Paris;1;0;;;1;1;;;;;;;;;;0;;;;;;;;;;;;0753851D;Lycée privé La Rochefoucauld;Lycée;Privé;90 bis rue Saint-Dominique;;75007 Paris;75007.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 55 80 20;01 45 55 53 84;http://www.laroche.org;info@laroche.org;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78430847000029.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7825;48.8593964246,2.30567954169;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;649058.5;6862375.2;EPSG:2154;;48.85939642463724;2.3056795416851394;Numéro de rue;1968-03-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE BATIMENT-SAINT-LAMBERT;2012;PARIS 15;0750697A;75115;PARIS;Paris;PU;;;;;;;;45.0;;;;;45;;;;;;;;98.0;;;;;98;;;;;;;;93.0;;;;;93.0;;;;;;;;89.0;;;;;89;;;;;;;;;;;;;;;;;;;;;;;6.0;;83.0;98.0;75.0;94.0;72.0;90.0;24.0;40.0;;62;61.0;65;90.0;83.0;89;;;Ile-de-France;11;75;Paris;9;-3;;;;;;;;;9;;;;;1;;;;;;;;;;;;0750697A;Lycée du bâtiment et des travaux publics;Lycée;Public;7 rue Clavel;;75019 Paris;75019.0;75100;Paris;075;1.0;11.0;;;0.0;1.0;0.0;01 53 98 98 00;01 53 98 98 01;http://www.saint-lambert.org;ce.0750697a@ac-paris.fr;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;1.0;19750697500022.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8149;48.8746140297,2.38488949143;SANS OBJET;Paris;Paris;Ile-de-France;654883.1;6864019.1;EPSG:2154;;48.87461402965952;2.384889491428597;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;301.0;LYCEE D ENSEIGNEMENT TECHNOLOGIQUE;99;0750802P;;;01000;BASSIN PARIS
LYCEE BUFFON;2012;PARIS 15;0750693W;75115;PARIS;Paris;PU;49.0;105.0;173.0;;;;;;;;;;327;96.0;93.0;96.0;;;;;;;;;;95;96.0;96.0;98.0;;;;;;;;;;97.0;95;96;97;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;1.0;;83.0;96.0;75.0;94.0;73.0;96.0;352.0;335.0;;82;81.0;75;91.0;93.0;91;;;Ile-de-France;11;75;Paris;-1;7;;1;-3;-1;;;;;;;;;;0;;;;;;;;;;;;0750693W;Lycée Buffon;Lycée;Public;16 boulevard Pasteur;;75015 Paris;75015.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 38 78 70;01 47 83 29 88;http://www.lycee-buffon.fr;ce.0750693w@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;;1.0;19750693400011.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9799;48.8434577432,2.31171015964;SANS OBJET;Paris;Paris;Ile-de-France;649485.5;6860599.1;EPSG:2154;;48.84345774318633;2.3117101596404237;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752545J;;;01000;BASSIN PARIS
LYCEE CLAUDE MONET;2012;PARIS 13;0750683K;75113;PARIS;Paris;PU;59.0;95.0;206.0;;;;;;;;;;360;98.0;92.0;92.0;;;;;;;;;;93;99.0;98.0;98.0;;;;;;;;;;98.0;98;98;96;;;;;;;;;;97;;;;;;;;;;;;;;;;;;;;;;;1.0;;84.0;95.0;75.0;94.0;73.0;96.0;370.0;317.0;;81;83.0;76;92.0;95.0;93;;;Ile-de-France;11;75;Paris;-4;5;;0;-6;-4;;;;;;;;;;-1;;;;;;;;;;;;0750683K;Lycée Claude Monet;Lycée;Public;1 rue du Docteur Magnan;;75013 Paris;75013.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 56 61 90 00;01 56 61 90 02;http://lyc-monet.scola.ac-paris.fr;ce.0750683k@ac-paris.fr;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;;0.0;19750683500010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1756;48.8274345969,2.36233973803;SANS OBJET;Paris;Paris;Ile-de-France;653186.8;6858786.3;EPSG:2154;;48.82743459693139;2.3623397380279245;Numéro de rue;1965-05-01;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;99;0752539C;;;01000;BASSIN PARIS
LYCEE CARCADO SAISSEVAL;2012;PARIS 06;0754029X;75106;PARIS;Paris;PR;;;;64.0;;;;;;92.0;;;156;;;;94.0;;;;;;97.0;;;96;;;;95.0;;;;;;97.0;;;96.0;;;;92.0;;;;;;92.0;;;92.0;;;;;;;;;;;;;;;;;;;;;;;5.0;;78.0;95.0;75.0;94.0;74.0;90.0;105.0;156.0;;61.0;42.0;61.0;82.0;67.0;84.0;;;Ile-de-France;11;75;Paris;4;0;;;;;2;;;;;;5;;;-2;;;;;;;;;;;;0754029X;Lycée privé Carcado Saisseval;Lycée;Privé;121 boulevard Raspail - CS 10622;;75006 Paris;75006.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 45 48 43 46;;http://www.carcado-saisseval.com;contact@carcado-saisseval.com;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;;0.0;78428100800010.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11304;48.8453654335,2.32882972697;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650743.7;6860800.4;EPSG:2154;;48.84536543354021;2.3288297269730296;Numéro de rue;1968-03-15;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;306.0;LYCEE POLYVALENT;30;;;;01000;BASSIN PARIS
LYCEE SAINT-JEAN DE PASSY;2012;PARIS 16;0753947H;75116;PARIS;Paris;PR;;65.0;89.0;;;;;;;;;;154;;100.0;100.0;;;;;;;;;;100;;100.0;100.0;;;;;;;;;;100.0;;100.0;100.0;;;;;;;;;;100.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;89.0;100.0;75.0;94.0;73.0;96.0;174.0;170.0;;89.0;90.0;89.0;98.0;96.0;96.0;;;Ile-de-France;11;75;Paris;0;0;;;0;0;;;;;;;;;;2;;;;;;;;;;;;0753947H;Lycée privé Saint-Jean de Passy;Lycée;Privé;72 rue Raynouard;;75016 Paris;75016.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 30 26 00;01 42 30 51 93;http://www.saintjeandepassy.fr;sjp@saintjeandepassy.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;83962372500018.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10557;48.8544731755,2.27843975434;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;647055.0;6861845.7;EPSG:2154;;48.85447317545069;2.278439754335523;Numéro de rue;1968-03-25;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE LA TOUR;2012;PARIS 16;0753943D;75116;PARIS;Paris;PR;8.0;47.0;57.0;;;;;;;;;;112;100.0;100.0;100.0;;;;;;;;;;100;99.0;99.0;99.0;;;;;;;;;;99.0;98.0;99.0;97.0;;;;;;;;;;98.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;83.0;97.0;75.0;94.0;73.0;96.0;143.0;128.0;;82.0;85.0;82.0;94.0;95.0;93.0;;;Ile-de-France;11;75;Paris;2;0;;2;1;3;;;;;;;;;;1;;;;;;;;;;;;0753943D;Lycée privé de la Tour;Lycée;Privé;86 rue de la Tour;;75016 Paris;75116.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 45 04 73 35;01 45 04 27 98;http://www.institutdelatour.com;info@institutdelatour.com;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;78466215700022;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3549;48.861566957,2.27882948512;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;647090.8;6862634.2;EPSG:2154;;48.86156695699225;2.278829485121222;Numéro de rue;1968-03-25;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE SAINT-LOUIS DE GONZAGUE;2012;PARIS 16;0753933T;75116;PARIS;Paris;PR;;67.0;81.0;;;;;;;;;;148;;100.0;100.0;;;;;;;;;;100;;100.0;100.0;;;;;;;;;;100.0;;100.0;99.0;;;;;;;;;;100.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;85.0;99.0;75.0;94.0;73.0;96.0;173.0;162.0;;83.0;89.0;87.0;94.0;96.0;95.0;;;Ile-de-France;11;75;Paris;0;-4;;;0;1;;;;;;;;;;-1;;;;;;;;;;;;0753933T;Lycée privé Saint-Louis de Gonzague;Lycée;Privé;12 rue Benjamin Franklin;;75016 Paris;75116.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 44 30 45 50;01 44 30 45 55;http://www.franklinparis.fr;franklin@franklinparis.com;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;33482162600028.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5148;48.8595752073,2.28547996682;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;647576.7;6862408.3;EPSG:2154;;48.85957520731763;2.2854799668230874;Numéro de rue;1968-03-25;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE SAINT-MICHEL DE PICPUS;2012;PARIS 12;0753897D;75112;PARIS;Paris;PR;42.0;86.0;149.0;;;;;;;;;;277;100.0;100.0;100.0;;;;;;;;;;100;99.0;99.0;99.0;;;;;;;;;;99.0;98.0;98.0;99.0;;;;;;;;;;99.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;78.0;99.0;75.0;94.0;73.0;96.0;376.0;311.0;;77.0;87.0;81.0;93.0;95.0;93.0;;;Ile-de-France;11;75;Paris;1;-4;;2;2;1;;;;;;;;;;0;;;;;;;;;;;;0753897D;Lycée privé Saint-Michel de Picpus;Lycée;Privé;53 rue de la Gare de Reuilly;;75012 Paris;75012.0;75100;Paris;075;1.0;11.0;;;1.0;0.0;0.0;01 43 44 55 56;01 43 43 08 34;http://www.stmicheldepicpus.fr;contact@saintmicheldepicpus.fr;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;34013895700089.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9546;48.8423138252,2.39651040307;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;655708.0;6860421.0;EPSG:2154;;48.84231382517972;2.396510403069465;Numéro de rue;1968-03-18;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;302.0;LYCEE D ENSEIGNEMENT GENERAL;30;;;;01000;BASSIN PARIS
LYCEE D'HULST;2012;PARIS 07;0753848A;75107;PARIS;Paris;PR;13.0;30.0;15.0;;;;;;;;;;58;85.0;97.0;100.0;;;;;;;;;;95;79.0;93.0;88.0;;;;;;;;;;88.0;85.0;94.0;91.0;;;;;;;;;;91.0;;;;;;;;;;;;;;;;;;;;;;;1.0;;44.0;89.0;75.0;94.0;73.0;96.0;126.0;69.0;;34.0;56.0;42.0;65.0;81.0;67.0;;;Ile-de-France;11;75;Paris;4;-8;;0;3;9;;;;;;;;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LYCEE SAINTE-GENEVIEVE;2012;PARIS 06;0753844W;75106;PARIS;Paris;PR;28.0;34.0;32.0;;;;;25.0;;;;;119;96.0;100.0;100.0;;;;;100.0;;;;;99;95.0;94.0;98.0;;;;;97.0;;;;;96.0;94.0;94.0;97.0;;;;;97.0;;;;;96.0;;;;;;;;;;;;;;;;;;;;;;;3.0;;70.0;97.0;75.0;94.0;72.0;92.0;164.0;130.0;;67.0;69.0;65.0;93.0;89.0;89.0;;;Ile-de-France;11;75;Paris;3;2;;2;6;3;;;;;3;;;;;4;;;;;;;;;;;;0753844W;Lycée privé Sainte-Geneviève;Lycée;Privé;64 rue d'Assas;;75006 Paris;75006.0;75100;Paris;075;1.0;11.0;;;1.0;1.0;0.0;01 44 39 01 00;01 42 84 25 00;http://www.saintegenevieve6.org;lt@isg6.paris;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;0.0;77566396600056.0;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15688;48.8457987583,2.33136958012;CONTRAT D'ASSOCIATION TOUTES CLASSES;Paris;Paris;Ile-de-France;650930.5;6860847.0;EPSG:2154;;48.845798758291295;2.331369580122871;Numéro de rue;1968-03-06;2021-10-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0.0;0.0;;300.0;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;30;;;;01000;BASSIN PARIS
